baseline,config,mechanism,target,metric,mean,std,n_seeds
spatial_idw,station_outage_720,station_outage,WVHT,MRE,0.3337845370258769,0.029426915511045097,3
spatial_idw,station_outage_720,station_outage,WVHT,RMSE,0.8461598472115447,0.1276271987093846,3
spatial_idw,station_outage_full,station_outage,APD,MAE,0.7650892856538029,0.2907313513029651,3
spatial_idw,station_outage_full,station_outage,APD,MRE,0.12828738358967173,0.05483165890285928,3
spatial_idw,station_outage_full,station_outage,APD,RMSE,1.0487282904040558,0.40371332997897214,3
spatial_idw,station_outage_full,station_outage,WVHT,MAE,0.4433686625181655,0.03265318314648051,3
spatial_idw,station_outage_full,station_outage,WVHT,MRE,0.3046230093425305,0.03685665159529194,3
spatial_idw,station_outage_full,station_outage,WVHT,RMSE,0.6268095227256537,0.035551085516988594,3
spatial_temporal,block_10,block,APD,MAE,0.7696131365840877,0.025058956344319604,3
spatial_temporal,block_10,block,APD,MRE,0.12902591194043866,0.003112294353171951,3
spatial_temporal,block_10,block,APD,RMSE,1.0331527100674274,0.03492612488314714,3
spatial_temporal,block_10,block,WVHT,MAE,0.35060471493697953,0.013248134937484692,3
spatial_temporal,block_10,block,WVHT,MRE,0.2515997621601622,0.009621928250541815,3
spatial_temporal,block_10,block,WVHT,RMSE,0.5205530313451409,0.031260073086313414,3
spatial_temporal,block_30,block,APD,MAE,0.7845195593541362,0.010751799486379188,3
spatial_temporal,block_30,block,APD,MRE,0.13359479197292834,0.0012150819903058389,3
spatial_temporal,block_30,block,APD,RMSE,1.0464306201726223,0.01226290660584322,3
spatial_temporal,block_30,block,WVHT,MAE,0.354472644137342,0.0023675947743000414,3
spatial_temporal,block_30,block,WVHT,MRE,0.26523599945001436,0.001661658839119245,3
spatial_temporal,block_30,block,WVHT,RMSE,0.53356909890339,0.01131772348072544,3
spatial_temporal,block_50,block,APD,MAE,0.857173223386079,0.014772859452971186,3
spatial_temporal,block_50,block,APD,MRE,0.14748867458587286,0.0030582523401880423,3
spatial_temporal,block_50,block,APD,RMSE,1.118664129035251,0.021892317779267482,3
spatial_temporal,block_50,block,WVHT,MAE,0.39236069282124886,0.006073203663782111,3
spatial_temporal,block_50,block,WVHT,MRE,0.30140809856163236,0.004154123079382467,3
spatial_temporal,block_50,block,WVHT,RMSE,0.5665839009027662,0.006808170746247385,3
spatial_temporal,mcar_10,mcar,APD,MAE,0.4122650957997505,0.0010097153904932888,3
spatial_temporal,mcar_10,mcar,APD,MRE,0.06883212579534524,0.00013446977945075472,3
spatial_temporal,mcar_10,mcar,APD,RMSE,0.5858739737719322,0.002511227620906114,3
spatial_temporal,mcar_10,mcar,WVHT,MAE,0.20189167058925953,0.0008245031453342866,3
spatial_temporal,mcar_10,mcar,WVHT,MRE,0.14284313445656835,0.00042843559080858707,3
spatial_temporal,mcar_10,mcar,WVHT,RMSE,0.3248276009574717,0.002327847668275459,3
spatial_temporal,mcar_30,mcar,APD,MAE,0.432793278781524,0.0003094271170531455,3
spatial_temporal,mcar_30,mcar,APD,MRE,0.07224179925858172,3.80914474334719e-05,3
spatial_temporal,mcar_30,mcar,APD,RMSE,0.6127875870962177,0.000895188727389399,3
spatial_temporal,mcar_30,mcar,WVHT,MAE,0.2134324711817598,0.00025864103832747823,3
spatial_temporal,mcar_30,mcar,WVHT,MRE,0.15079445314130702,2.256565291565544e-05,3
spatial_temporal,mcar_30,mcar,WVHT,RMSE,0.34298154581409035,0.00010269002520570553,3
spatial_temporal,mcar_50,mcar,APD,MAE,0.46245997297788666,0.0006290986498760206,3
spatial_temporal,mcar_50,mcar,APD,MRE,0.07720018662770954,8.572018936438416e-05,3
spatial_temporal,mcar_50,mcar,APD,RMSE,0.6519071822564846,0.0010862129526436927,3
spatial_temporal,mcar_50,mcar,WVHT,MAE,0.2290918934006235,0.00028568916161197087,3
spatial_temporal,mcar_50,mcar,WVHT,MRE,0.16189035694368217,0.00018343503320367795,3
spatial_temporal,mcar_50,mcar,WVHT,RMSE,0.36510557851932846,0.0008477563676222707,3
spatial_temporal,station_outage_720,station_outage,APD,MAE,0.9903227604548759,0.128690623753244,3
spatial_temporal,station_outage_720,station_outage,APD,MRE,0.14499013946430117,0.020464594727497072,3
spatial_temporal,station_outage_720,station_outage,APD,RMSE,1.3261490198819252,0.16594793741242153,3
spatial_temporal,station_outage_720,station_outage,WVHT,MAE,0.5212398765947639,0.0859842880762577,3
spatial_temporal,station_outage_720,station_outage,WVHT,MRE,0.2897810623591673,0.027385361209595626,3
spatial_temporal,station_outage_720,station_outage,WVHT,RMSE,0.7529165904629944,0.14083100504363874,3
spatial_temporal,station_outage_full,station_outage,APD,MAE,0.8456038587836986,0.1344294455798665,3
spatial_temporal,station_outage_full,station_outage,APD,MRE,0.14075232230941362,0.028405489471654062,3
spatial_temporal,station_outage_full,station_outage,APD,RMSE,1.1017938536362135,0.1941963566161484,3
spatial_temporal,station_outage_full,station_outage,WVHT,MAE,0.4262272749647545,0.015076040614141443,3
spatial_temporal,station_outage_full,station_outage,WVHT,MRE,0.29224044869052684,0.01944300384798507,3
spatial_temporal,station_outage_full,station_outage,WVHT,RMSE,0.6257621927364551,0.03070643331789777,3
